Country,KDI_Pop_2012,KDI_GNIT_2012,KDI_GNIP_2012,KDI_PPPT_2012,KDI_PPPP_2012,KDI_GDP_2012,SR_NH_1993_2002,SR_NH_2003_2012,SR_EPI_1993_2002,SR_EPI_2003_2012,SR_AMM_2007_2011,SR_AMF_2007_2011,SR_RPI_2013,RMH_EP_2010,RMH_ES_2010,RMH_ET_2010,RMH_MM_2010,RMH_S_2011,RMF_PHI_2011,RMF_PAI_2011,RMF_IA_2005_2010,RMF_BS_2000,RMF_BS_2011,% of GDP,RMF_C_2011,RMF_IP_2000,RMF_IP_2011,RMF_DR_2000,RMF_DR_2011,RME_IR_2005_2007,RME_IR_2010_2012,,RME_WWGI_2011,DCI_DE_1993_2002,DCI_DE_2003_2012,DCI_DA_1993_2002,DCI_DA_2003_2012
Tunisia,11,44.8,4150,100.9,9360,2.6,0,0,0,0,121.07,68.07,58.89,18.03,15.07,6.24,56,25.05,6.06,0,0.76,46.76,55.12,60.48,72.25,1.36,1.63,129.34,131.08,18.29,19.02,-1.41,1.09,0,0,0,0
Turkey,74,801.1,10830,1345.73,18190,0.9,29,32,0,2,132.68,74.48,70.46,45.83,17.7,5.85,20,9.55,4.4,0,1.79,32.53,50.3,17.75,50.08,0.93,1.09,54.58,99.56,11.54,11.92,-0.59,1.91,30.2,1.58,0.85,0.04
Turkmenistan,5,28.7,5550,49.9,9640,9.7,2,0,0,0,301.59,157.83,0,0,0,0,67,44.54,0,2.09,0,0,0,0,0,0,0.26,21.94,0,0,0,-0.58,1.92,0.25,0,0.38,0
Uganda,36,16,440,41.4,1140,0,13,15,11,17,392.55,377.12,24.75,24.46,3.09,2.62,310,44.41,0.67,9.06,1.06,12.15,18.11,5.63,15.18,0.41,0.59,46.33,83.81,18.18,15.74,0.48,2.98,1.4,0.5,0.11,0
Ukraine,46,159.6,3500,332.5,7290,0.4,11,9,3,0,334.1,127.78,71.24,4.24,41.32,25.33,32,24.97,1.65,0,2.76,11.02,37.05,11.06,55.84,1.14,2.03,100.42,150.71,22.01,19.21,1.34,3.84,0.11,0.1,0.1,0.16
United Arab Emirates,9,321.7,36040,378.3,42380,-0.8,0,0,0,0,88.95,67.2,87.89,11.66,32.13,10.1,12,30.15,0,0,4.23,45.11,59.27,46.22,61.91,1.18,1.39,102.46,104.46,18,10.68,1.23,3.73,0,0,0,0
United Kingdom,63,2418.5,38250,2331.85,36880,-0.5,27,19,1,1,94.99,58.42,82.37,24.15,1.29,13.63,12,56.71,0,0,95.91,103.95,162.55,128.6,186.73,17,11.72,123.72,114.88,1.95,3.72,0.84,3.34,0.18,0.09,0.08,0.05
United States,314,15734.6,50120,15887.6,50610,1.5,211,184,3,1,134.94,79.04,90.64,1.88,36.18,31.59,21,66.77,0,0,44.18,65.06,79.21,50.45,55.1,7.06,6.86,77.54,69.55,1.72,2.62,-1.29,1.21,0.84,1.39,0.15,0.33
Uruguay,3,45.9,13510,52.9,15570,3.6,10,5,0,0,129.51,57.71,73.06,35.26,18.56,6.4,29,16.91,9.32,22.14,3.8,40.6,40.32,44.92,23.65,1.71,1.47,110.65,58.66,17.04,23.2,-1.28,1.22,0.15,0.63,0.11,0.01
Uzbekistan,30,51.3,1720,111.6,3750,6.6,1,2,1,0,242.4,138.48,54.2,0,0,0,28,31.4,0.77,4.26,0.54,0,0,0,0,0.18,0.3,0,0,0,0,-0.54,1.96,0,0.05,0.03,0
"Venezuela, RB",30,373.5,12470,393,13120,3.9,12,17,1,1,168.57,86.9,52.11,27.9,4.63,4.09,92,28.37,5.95,41.19,0,15.2,32.09,10.48,20.4,1.15,2,68.98,63.55,18.38,6.32,-1.33,1.17,128.75,0.75,0.36,0.01
Vietnam,89,124.1,1400,305.6,3440,3.9,48,67,3,5,129.42,86.84,55.63,38.48,11.43,3.01,59,35.27,17.52,3.1,4.2,32.78,94.8,35.26,111.63,0.63,1.27,107.55,117.75,24.05,11.33,-0.3,2.2,10.41,3.16,1.19,0.62
"Yemen, Rep.",24,26,1110,53.7,2310,-2.2,13,12,1,1,226.43,181.53,30.09,8.59,6.09,1.93,200,11.88,0.03,0,0,13.95,15.29,4.31,4.13,0.2,0.21,30.91,27,37.47,16.64,-1.47,1.03,3.39,1.28,1.92,0
Zambia,14,19.1,1350,22.8,1620,4,4,12,7,7,485.84,489.43,25.36,29.75,9.99,0.97,440,32.16,1.23,11.75,1.45,20.98,20.44,8.16,12.28,1.43,1.12,38.89,60.1,7.99,13.25,-1.47,1.03,0.05,0.44,0.06,0
Zimbabwe,14,9.3,680,0,0,2.2,6,10,10,10,516.9,570.88,25.48,21.84,9.35,0.68,570,39.85,14.55,6.18,0,0,0,0,0,0,0,0,0,2.42,7.33,-1.47,1.03,0.97,0.29,0.2,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a. Calculated using the World Bank Atlas method.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b. PPP is purchasing power parity; see the technical notes.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c. Data are for the most recent year available. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d. The estimate is based on regression; others are extrapolated from the 2005 International Comparison Program benchmark estimates.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"e. Estimated to be upper middle income ($4,086-$12,615).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f. Excludes Abkhazia and South Ossetia.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g. Excludes Transnistria.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h. Includes Former Spanish Sahara.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"i. Estimated to be low income ($1,035 or less).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
